DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1021.2,13.8,18.2,8.3,8.5,71,55,5.7,11,23,19,23,6.3,,,700,5,SC,40
2,1018.6,14.9,18.9,12.1,10.6,76,61,5.0,9,21,18,21,6.9,0.5,,420,5,SC,25
3,1020.1,11.9,16.6,4.7,5.1,65,37,8.2,15,29,22,28,3.3,1.0,,230,7,SC,20
4,1029.1,6.5,12.3,1.5,-2.8,52,40,5.1,9,32,14,26,1.4,,,380,7,SC,60
5,1029.4,7.0,15.0,-0.3,-0.9,60,40,2.5,8,30,11,17,2.3,,,700,6,SC,35
6,1025.1,10.8,16.3,4.9,3.9,64,44,3.9,8,18,18,22,4.3,,,700,6,SC,30
7,1021.3,14.2,19.2,6.3,6.3,60,44,3.9,8,15,14,23,6.5,,,700,6,SC,25
8,1020.5,12.8,18.0,4.9,3.2,57,27,7.2,15,35,20,34,2.5,0.0,,180,7,SC,20
9,1024.6,7.9,16.7,1.3,-3.2,50,20,2.3,5,32,8,26,0.2,,,,,,
10,1016.7,9.0,16.6,3.5,2.7,66,47,8.3,18,28,28,22,4.5,6.5,,250,5,SC,25
11,1022.2,5.1,10.0,0.0,-5.9,47,30,5.7,15,33,20,33,0.0,,,,,,
12,1022.5,4.2,10.7,-2.6,-2.7,64,38,2.5,8,31,13,27,1.7,,,,6,CI,180
13,1017.7,8.2,12.6,1.2,1.7,66,44,5.8,13,22,20,20,6.9,4.0,,220,6,SC,25
14,1019.4,7.2,11.3,0.6,-4.4,45,28,5.8,15,28,24,28,1.7,,,350,,,
15,1022.4,2.6,7.3,-2.1,-8.2,48,28,7.8,18,29,28,29,2.4,0.0,,,5,SC,30
16,1026.0,0.0,5.4,-5.2,-11.6,45,22,3.0,7,35,12,34,0.0,,,,,,
17,1020.4,2.5,7.5,-4.3,-8.4,48,29,5.1,16,33,22,33,5.9,0.0,,800,5,SC,30
18,1024.2,-2.1,2.4,-5.8,-15.6,38,20,11.0,18,33,25,34,0.3,,,700,5,AC,120
19,1027.9,-1.9,3.7,-8.9,-14.4,41,23,4.7,13,33,20,32,2.2,,,,5,CI,200
20,1027.3,-1.6,4.1,-6.8,-9.2,59,33,3.2,9,35,12,21,1.6,0.0,,700,7,SC,30
21,1027.2,0.2,7.5,-8.1,-6.6,64,38,2.8,7,15,10,25,1.4,,,10,9,FG,1
22,1018.7,4.7,11.6,-2.0,-4.1,55,34,7.5,19,30,26,30,3.9,0.5,,310,7,SC,25
23,1021.1,0.4,5.7,-6.0,-9.0,52,32,5.5,17,32,25,31,2.9,0.5,.5,150,6,SC,30
24,1025.0,-1.5,3.2,-6.6,-7.8,65,37,4.3,13,33,19,33,2.9,0.0,.6,420,5,SC,30
25,1023.6,2.8,8.2,-5.9,-1.5,75,59,5.5,15,18,23,20,5.3,23.5,,40,3,ST,15
26,1025.4,1.8,6.8,-2.4,-2.8,74,46,5.6,12,36,16,35,3.5,,,10,9,FG,1
27,1027.6,0.5,7.7,-5.0,-6.6,61,41,2.8,7,30,12,29,0.1,,,,,,
28,1022.9,4.4,10.9,-2.4,-1.6,66,49,3.0,6,31,11,19,5.7,0.0,,350,7,SC,25
29,1026.6,2.2,6.6,-2.6,-8.2,51,26,7.8,14,34,18,33,3.6,0.0,,200,7,SC,20
30,1029.5,-3.0,1.9,-6.3,-18.9,31,17,8.4,15,32,20,32,1.3,,,,7,AC,110
