DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1010.4,22.9,27.8,18.9,15.6,76,60,3.4,8,4,12,6,2.4,,,,5,CI,170
2,1012.5,23.6,28.6,17.9,16.3,75,63,5.0,12,4,17,4,2.7,0.5,,,,,
3,1013.9,25.0,29.0,21.2,16.8,73,63,5.8,12,4,17,4,0.5,,,,,,
4,1013.2,23.6,27.0,20.5,16.3,75,65,4.5,9,8,12,8,5.4,,,,6,AC,120
5,1009.5,23.3,26.9,21.2,16.0,75,65,4.3,9,3,12,3,5.9,0.0,,,5,SC,25
6,1007.3,23.2,26.6,20.2,17.6,80,67,1.4,8,15,10,15,6.9,,,,8,AS,100
7,1009.7,24.0,29.1,19.2,17.8,79,64,4.1,9,8,14,4,2.1,,,500,,,
8,1010.6,25.5,29.2,22.5,17.2,72,66,7.3,11,4,16,3,3.1,,,,4,CI,170
9,1008.4,23.1,25.0,22.0,20.0,89,77,4.0,9,4,14,5,8.0,11.2,,350,5,ST,12
10,1007.5,23.1,24.3,22.2,18.9,85,80,7.3,13,3,18,4,7.2,,,700,5,SC,20
11,1011.2,23.3,26.5,21.5,14.9,72,66,9.2,15,4,24,3,4.3,,,,7,AS,90
12,1013.3,22.4,25.8,20.1,12.7,68,60,8.6,13,4,17,4,3.0,,,,5,AC,130
13,1012.7,21.9,24.8,19.6,14.0,73,67,9.0,12,8,16,4,5.7,,,,8,AS,90
14,1012.3,21.0,22.5,19.0,16.1,82,75,7.6,12,4,15,5,7.6,4.0,,400,5,ST,13
15,1012.5,22.5,25.7,18.3,16.3,78,71,5.7,9,4,13,4,2.2,,,,,,
16,1011.8,21.6,27.0,16.2,15.0,78,60,2.8,7,4,13,6,0.1,,,,,,
17,1008.4,22.9,29.6,16.9,15.5,76,55,3.4,8,27,13,29,0.2,,,,,,
18,1009.2,23.8,28.9,18.9,16.3,75,62,4.7,10,29,13,30,1.9,,,,5,SC,30
19,1013.8,23.0,27.1,18.2,16.1,76,66,4.3,9,6,11,6,1.6,,,600,,,
20,1016.1,23.1,27.1,20.5,17.3,80,68,3.4,10,14,12,14,2.9,,,600,6,CU,30
21,1019.7,21.4,26.4,16.3,12.9,71,53,10.0,21,5,29,4,3.3,,,,6,SC,35
22,1024.2,18.5,22.4,15.1,7.8,64,57,12.4,18,4,25,4,0.2,,,,,,
23,1021.3,19.1,23.8,15.5,10.7,71,59,6.0,13,4,17,4,0.0,,,,,,
24,1016.6,20.1,27.4,13.4,13.5,78,59,2.9,9,30,14,31,0.6,,,,,,
25,1014.4,20.2,23.2,16.5,13.4,76,69,3.3,8,30,11,7,6.3,,,,6,SC,30
26,1016.3,20.3,25.1,15.5,13.8,77,63,4.0,8,5,13,5,1.7,,,,5,AC,130
27,1015.8,21.2,26.2,16.5,14.2,76,58,2.7,7,15,10,4,4.6,,,,5,AC,120
28,1019.4,21.3,25.7,16.5,12.9,72,59,7.5,14,4,19,4,2.2,,,,5,SC,30
29,1019.5,20.8,23.9,18.4,11.3,68,61,9.0,13,4,17,4,4.1,,,,5,SC,35
30,1010.9,16.8,19.6,15.4,13.1,86,67,7.7,13,4,19,4,8.0,32.0,,320,6,ST,15
