DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1014.0,23.1,25.4,21.5,19.8,82,77,3.5,6,6,11,10,7.7,,,450,4,SC,30
2,1015.8,24.2,26.1,22.8,21.8,86,82,0.7,6,15,9,18,7.2,14.6,,150,6,SC,20
3,1017.6,25.4,30.6,22.5,22.1,82,71,2.3,10,34,14,1,5.8,0.3,,600,4,SC,30
4,1016.0,25.7,31.6,21.9,21.6,79,61,3.8,11,16,14,18,2.9,,,600,6,CI,180
5,1012.0,26.5,30.6,22.8,22.2,78,65,4.0,10,24,17,32,5.8,0.3,,460,6,CU,20
6,1011.1,26.8,30.6,24.6,22.5,78,65,3.8,7,23,10,30,5.1,0.3,,700,7,SC,30
7,1010.9,26.6,30.2,24.1,22.5,78,68,4.8,10,16,13,18,5.4,,,,7,SC,30
8,1010.7,27.2,31.5,24.0,22.6,77,62,2.8,8,32,14,30,4.7,,,,7,SC,30
9,1009.2,26.0,29.9,23.6,22.2,80,68,4.0,13,16,16,17,5.9,3.4,,600,5,SC,30
10,1009.6,22.8,24.6,21.4,17.9,74,67,3.4,8,33,12,34,7.4,,,,8,AS,100
11,1011.3,22.0,23.1,18.8,18.1,79,69,5.3,11,6,15,7,8.0,19.0,,400,6,SC,20
12,996.7,23.1,25.3,21.5,21.1,89,81,15.5,47,32,59,36,8.0,227.1,,120,6,SC,18
13,1007.4,23.8,27.6,19.5,18.4,73,49,7.0,19,30,30,34,3.6,,,,5,SC,40
14,1014.1,22.7,28.1,17.1,16.3,69,50,3.6,11,34,17,36,1.1,,,350,,,
15,1016.5,22.0,29.0,17.4,17.4,76,56,3.3,7,19,10,16,4.4,,,190,6,AC,130
16,1015.6,22.4,28.6,18.3,18.9,82,56,2.4,11,16,13,18,2.9,,,200,6,AC,120
17,1014.6,23.4,28.9,19.1,20.2,83,59,1.7,7,23,11,35,1.4,,,50,,,
18,1010.5,24.3,28.4,21.5,21.4,84,65,4.5,10,19,16,27,6.8,6.0,,320,5,SC,20
19,1009.9,23.8,26.6,21.2,20.2,81,73,6.7,13,16,16,18,6.3,,,450,5,SC,25
20,1010.9,20.6,22.4,19.5,14.9,70,60,11.3,15,6,20,8,7.1,,,,5,SC,30
21,1013.0,20.4,24.5,17.4,11.3,56,44,9.3,14,6,17,8,0.9,,,,,,
22,1016.7,19.5,23.0,15.0,9.7,54,41,6.9,12,6,16,6,1.3,,,,,,
23,1019.3,19.8,24.1,14.5,11.1,58,45,6.2,11,10,15,10,3.3,,,,6,SC,30
24,1019.0,19.9,24.0,17.1,12.3,62,46,6.0,11,7,14,8,5.3,,,,7,AS,100
25,1017.8,20.5,26.5,14.5,15.2,72,55,2.7,8,17,10,20,1.8,,,,,,
26,1015.6,21.5,28.6,16.0,15.9,72,45,2.9,10,33,13,35,1.4,,,600,,,
27,1013.9,20.8,26.4,16.1,15.2,71,47,3.7,8,17,10,36,0.0,,,700,,,
28,1013.3,21.1,25.0,18.6,16.5,76,59,3.7,10,16,12,17,2.1,,,700,6,SC,25
29,1014.1,20.9,25.8,16.4,15.3,72,43,4.5,11,9,14,15,2.5,,,500,5,SC,30
30,1017.0,19.4,23.3,16.0,11.8,62,49,4.6,10,9,13,11,3.5,,,,6,SC,30
