DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,999.5,24.4,27.5,22.5,20.9,81,68,10.5,37,18,52,18,7.0,0.6,,600,6,SC,20
2,1010.3,25.5,33.6,18.5,21.8,82,52,2.7,10,18,14,28,0.3,,,250,,,
3,1013.0,25.5,32.6,21.5,22.8,86,68,3.9,18,7,26,8,0.6,,,150,,,
4,1015.5,23.9,27.5,20.8,21.4,86,78,5.5,11,1,19,1,6.3,,,600,5,SC,20
5,1012.1,24.5,29.2,21.0,22.3,88,78,5.1,13,36,20,1,5.9,,,500,5,SC,20
6,1013.2,21.6,22.6,20.6,18.7,84,79,11.2,20,36,33,1,7.0,0.0,,,6,SC,18
7,1016.5,20.6,22.8,18.4,17.2,81,76,8.5,18,1,31,1,6.2,,,,5,SC,25
8,1013.9,20.8,27.3,14.3,17.8,84,64,3.7,10,18,14,18,1.5,,,,,,
9,1010.1,22.2,28.9,16.4,18.6,81,60,5.4,15,35,20,34,2.8,,,400,5,SC,25
10,1012.5,21.1,26.0,16.9,18.5,86,75,5.0,13,8,18,8,2.7,,,,6,SC,25
11,1013.2,21.3,29.0,15.0,18.2,84,63,3.5,11,18,15,18,0.8,,,25,,,
12,1013.8,21.0,27.6,16.9,19.1,89,73,4.4,14,6,20,5,6.0,0.3,,300,5,SC,20
13,1015.5,19.4,22.1,17.5,17.5,89,75,4.8,13,1,22,2,7.3,1.0,,300,5,ST,16
14,1016.4,19.8,23.5,17.5,16.3,81,65,3.7,10,6,15,6,7.6,,,,5,SC,25
15,1016.2,18.6,21.8,15.5,15.7,84,65,3.8,11,6,23,9,8.0,27.5,,400,5,SC,20
16,1011.6,17.8,19.3,15.4,17.2,96,93,9.0,20,2,32,36,8.0,62.7,,300,5,ST,12
17,1016.4,19.7,24.4,16.0,16.3,82,61,7.0,19,1,26,5,4.7,,,800,5,SC,20
18,1021.6,18.0,24.4,12.0,14.6,82,62,4.3,13,6,20,6,4.1,,,,5,SC,25
19,1021.1,18.3,25.3,11.9,15.1,83,61,4.1,9,1,13,9,2.8,,,,5,AC,120
20,1018.3,18.3,25.5,11.4,15.5,85,65,4.3,14,8,22,8,1.0,,,20,,,
21,1015.2,19.1,25.4,13.0,16.3,85,69,4.4,13,8,18,9,4.7,,,700,5,AC,120
22,1011.9,16.8,19.0,13.0,15.1,90,77,6.2,18,1,24,1,5.8,0.8,,600,5,SC,20
23,1012.1,16.8,25.2,9.8,13.2,81,46,3.5,9,36,13,1,1.2,,,,,,
24,1016.3,17.5,26.9,9.8,13.2,79,44,3.6,11,17,15,18,0.6,,,500,,,
25,1020.4,17.7,24.9,11.3,14.7,84,63,4.3,14,7,16,8,4.2,,,500,6,CI,160
26,1019.9,19.0,24.5,14.5,15.8,83,64,4.9,15,8,20,6,5.7,,,500,6,AC,100
27,1016.3,18.3,23.0,12.6,16.1,87,79,5.9,16,35,19,36,6.8,0.0,,,5,SC,25
28,1013.0,20.1,25.3,15.9,17.4,85,71,5.0,13,8,18,10,5.4,,,600,5,SC,25
29,1012.2,19.7,28.4,14.5,16.5,84,50,2.3,9,4,11,22,4.2,,,400,4,SC,25
30,1013.1,18.4,25.7,13.0,15.4,85,57,3.3,11,10,14,11,2.1,,,10,,,
