DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1007.0,20.7,22.3,18.5,19.1,91,81,7.5,14,35,21,36,8.0,38.5,,400,6,SC,20
2,1004.9,21.5,24.0,19.4,20.4,93,86,4.1,10,36,13,36,8.0,9.5,,450,6,SC,20
3,1009.4,23.1,27.6,20.6,20.4,85,71,5.2,11,20,15,10,6.2,,,800,6,SC,20
4,1010.8,22.5,26.5,19.7,19.9,86,73,6.9,14,35,17,36,7.5,0.5,,,5,SC,20
5,1008.5,21.2,22.4,19.9,19.8,92,88,11.2,17,2,27,4,8.0,10.0,,480,6,SC,20
6,1005.1,21.0,22.2,20.1,19.0,88,84,12.0,18,1,29,36,8.0,4.5,,700,6,SC,20
7,1004.0,22.4,28.1,19.3,19.6,85,65,5.1,12,36,14,10,7.2,1.5,,,6,SC,20
8,1006.4,23.0,28.9,18.8,20.0,84,62,3.4,9,18,12,18,5.7,0.0,,,5,SC,25
9,1008.6,21.7,28.3,16.8,16.9,76,47,3.7,7,36,9,36,5.8,,,,7,AC,120
10,1011.3,22.5,31.9,15.4,17.5,77,38,4.3,12,16,15,15,0.7,,,600,,,
11,1011.3,22.6,29.6,16.5,18.0,78,45,4.0,13,35,16,35,5.2,,,400,8,AS,100
12,1012.3,22.3,28.7,17.5,18.9,83,57,5.9,11,8,15,7,3.4,,,350,6,AC,80
13,1013.8,22.7,29.6,15.9,18.5,79,49,5.7,9,2,14,10,5.5,0.0,,700,7,AC,100
14,1012.0,21.7,23.3,20.9,20.6,94,88,4.9,9,36,13,36,8.0,14.0,,300,6,SC,20
15,1006.6,21.9,25.5,20.5,21.4,97,88,3.0,11,28,16,27,8.0,67.0,,130,3,CB,20
16,1005.9,22.8,27.1,21.2,21.5,92,86,11.4,24,14,34,14,8.0,47.0,,220,6,SC,20
17,1012.3,23.4,26.1,21.7,21.0,87,72,6.3,20,19,22,18,7.5,0.5,,900,5,SC,20
18,1015.8,22.9,24.1,21.1,20.8,88,84,6.4,10,36,15,3,8.0,0.5,,900,6,SC,20
19,1013.0,26.4,32.6,22.6,23.6,85,63,5.6,14,16,19,19,3.8,0.5,,600,8,AS,100
20,1013.7,27.3,31.8,23.0,23.2,80,58,9.0,19,19,23,19,2.9,,,,,,
21,1014.0,28.3,33.5,23.3,23.2,75,59,7.6,14,18,20,18,3.0,,,,,,
22,1019.2,23.0,26.7,20.7,19.9,83,76,10.2,17,36,23,1,7.2,,,,5,SC,20
23,1019.4,21.3,22.8,19.6,18.8,86,79,9.0,14,35,22,35,8.0,3.5,,700,6,SC,20
24,1016.5,20.2,24.2,18.5,18.9,93,83,4.4,11,36,14,36,7.5,24.0,,340,4,SC,25
25,1015.8,21.0,27.9,15.4,17.7,83,62,5.4,12,6,20,8,2.0,,,600,,,
26,1016.6,20.8,26.8,15.9,16.9,80,60,4.3,9,9,13,9,2.6,,,,5,AC,100
27,1012.2,22.9,31.1,15.4,17.5,75,44,4.6,9,19,14,19,2.6,,,700,7,AC,130
28,1014.6,20.4,22.8,18.1,19.5,95,88,3.8,11,35,14,36,7.6,1.0,,450,5,SC,20
29,1020.7,19.8,22.5,16.7,16.6,83,70,4.9,10,6,15,8,7.6,0.5,,700,4,SC,20
30,1018.5,19.1,22.5,16.7,16.3,84,71,4.7,9,36,10,36,7.6,0.0,,,8,AS,80
