DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1012.1,21.6,25.9,16.1,14.4,64,51,9.4,16,2,29,4,4.1,,,,5,SC,35
2,1012.7,20.5,26.1,14.9,14.6,70,52,7.3,14,1,24,1,4.6,,,,6,CI,180
3,1015.2,21.0,26.3,16.0,16.0,75,55,6.0,11,8,18,4,3.8,,,,6,CI,180
4,1015.7,21.8,26.7,17.6,17.9,80,60,6.0,11,7,22,6,6.5,,,,7,AS,130
5,1011.6,21.9,26.0,17.2,19.9,89,70,4.8,9,1,12,1,7.5,0.0,,,5,SC,35
6,1007.3,22.2,26.8,18.8,20.9,93,76,4.4,13,36,18,1,8.0,24.0,,,5,SC,25
7,1006.4,21.1,26.8,17.9,18.3,86,59,5.4,12,36,16,1,6.3,3.5,,,5,SC,30
8,1010.3,22.4,29.6,16.0,18.3,80,51,4.6,12,1,16,1,2.1,,,,5,CI,180
9,1012.3,22.9,30.6,16.5,18.6,80,44,4.2,10,19,15,18,4.9,,,,6,AC,140
10,1013.9,22.6,28.2,17.9,19.2,83,60,4.6,10,10,16,11,6.9,,,,7,AS,120
11,1005.9,21.4,23.1,20.2,20.7,96,91,6.1,12,36,16,36,8.0,103.5,,,5,ST,6
12,1012.0,22.9,29.1,18.2,19.0,81,52,5.3,13,35,20,35,1.1,,,,,,
13,1017.4,20.8,27.8,14.1,14.1,69,37,6.5,12,36,19,8,0.5,,,,,,
14,1019.2,20.3,25.9,14.3,15.5,76,53,6.2,12,7,21,6,3.1,,,,,,
15,1019.0,22.2,24.1,18.4,13.5,58,48,8.5,13,7,31,2,6.9,,,,7,CI,160
16,1013.1,22.3,23.9,20.3,17.1,73,65,8.8,16,7,30,7,7.8,2.5,,,6,SC,25
17,1004.5,21.1,22.7,17.6,19.8,93,83,10.5,19,36,28,35,7.6,20.5,,,5,SC,25
18,1007.8,20.8,28.5,14.2,16.7,81,43,3.8,10,17,15,17,3.1,,,,5,AC,120
19,1009.7,22.3,29.9,13.7,16.6,73,43,4.6,9,33,14,31,5.1,,,,6,CI,180
20,1010.5,21.1,25.6,12.4,14.4,68,38,5.3,12,36,19,1,4.5,,,,6,CI,180
21,1014.2,18.3,25.5,11.3,14.0,79,54,5.0,9,13,14,15,3.3,,,,5,CI,180
22,1012.7,19.6,26.6,14.5,16.5,85,57,5.4,10,1,15,12,3.4,,,,5,CI,180
23,1015.3,20.2,27.3,14.9,15.7,79,44,4.2,8,1,12,16,6.0,,,,7,AC,130
24,1015.3,20.0,28.2,13.4,16.2,81,52,4.8,12,19,16,19,3.1,,,,5,CI,200
25,1014.7,21.2,27.7,15.2,17.6,82,53,6.0,13,10,20,4,1.1,,,,,,
26,1013.1,21.0,26.7,16.1,17.3,82,51,4.2,9,9,14,7,2.9,,,,5,AC,130
27,1005.9,18.6,19.8,17.3,17.9,96,88,10.1,16,36,26,36,7.9,19.0,,,6,SC,20
28,1008.8,20.1,24.5,13.6,15.7,77,58,7.3,12,35,20,22,3.6,,,,5,SC,25
29,1016.7,16.5,22.9,10.8,6.6,56,28,5.8,15,34,21,35,4.1,,,,5,CI,200
30,1022.1,16.1,26.6,7.2,8.6,67,28,5.6,13,18,20,18,0.1,,,,,,
