DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1026.5,12.8,14.8,10.1,3.8,55,49,5.7,9,1,19,36,3.2,,,,6,SC,30
2,1027.4,13.6,17.9,9.3,5.4,58,49,6.7,10,9,14,9,1.3,,,,,,
3,1025.1,14.5,18.0,10.5,6.3,58,48,7.5,12,7,16,8,5.0,,,,5,AC,130
4,1022.4,14.5,18.4,11.1,5.4,55,42,4.7,7,18,11,18,0.5,,,700,,,
5,1022.8,14.2,17.7,10.3,6.5,60,46,4.8,7,18,10,6,0.5,,,,6,CI,180
6,1024.3,15.8,19.3,11.1,9.6,67,53,7.0,14,7,17,8,3.2,,,700,5,SC,20
7,1022.7,17.2,18.6,15.4,13.1,77,69,7.9,16,7,20,8,7.6,0.5,,400,5,SC,30
8,1015.6,17.7,21.1,14.7,13.6,77,66,9.0,24,26,38,27,7.7,19.5,,100,5,SC,25
9,1021.1,14.6,16.2,10.5,7.9,65,54,8.6,15,27,25,27,4.8,0.0,,,6,SC,25
10,1025.4,13.0,16.6,9.2,6.0,63,53,4.8,7,17,12,17,0.1,,,,,,
11,1021.4,14.2,17.8,10.1,8.6,70,52,7.0,12,8,16,5,6.0,2.5,,450,5,SC,25
12,1018.7,13.4,14.5,12.7,6.7,65,52,7.5,13,1,22,2,6.5,3.0,,600,5,SC,20
13,1019.3,13.3,14.7,12.1,4.6,55,41,6.3,11,1,19,2,3.5,,,,7,SC,30
14,1022.4,13.0,15.3,9.3,6.4,64,54,5.8,9,1,15,1,2.2,,,,5,SC,25
15,1023.2,15.0,18.9,9.2,8.2,64,55,7.6,17,7,23,7,3.5,,,,7,AC,110
16,1020.8,14.6,16.4,13.2,9.2,70,57,8.4,15,4,23,3,7.6,3.5,,600,5,SC,25
17,1022.7,11.8,14.0,8.3,2.1,53,35,5.2,9,36,14,36,2.5,,,,6,SC,25
18,1021.4,11.7,14.1,7.8,1.3,50,35,4.6,10,1,16,2,6.8,0.0,,,5,SC,50
19,1022.9,12.5,14.4,10.5,2.2,50,36,6.0,11,7,14,2,4.0,,,,8,AS,100
20,1025.2,12.1,14.7,8.6,1.2,48,34,7.4,13,6,17,7,1.2,,,,,,
21,1021.6,12.8,16.6,8.6,4.1,56,42,6.5,14,8,24,1,6.9,0.5,,,5,SC,25
22,1025.8,10.0,13.1,7.7,0.6,52,44,8.9,17,1,28,2,4.5,,,,5,SC,30
23,1027.7,9.1,11.6,6.6,0.0,53,46,8.1,14,7,21,11,2.6,,,,6,SC,40
24,1024.1,13.0,18.7,6.0,5.8,62,45,7.7,19,23,30,25,5.0,0.0,,700,6,SC,30
25,1024.4,12.1,15.0,9.8,6.1,67,59,4.5,6,21,12,15,1.8,,,500,5,CI,180
26,1023.5,14.1,17.8,9.5,8.5,69,60,5.7,14,8,17,9,5.3,0.0,,700,5,SC,50
27,1023.2,13.3,15.3,10.7,7.8,70,55,4.2,7,12,12,33,1.9,,,500,6,ST,15
28,1022.5,12.6,14.9,8.8,3.4,56,33,5.2,9,1,15,3,1.3,,,400,6,SC,25
29,1025.3,12.3,16.7,7.8,4.8,61,45,4.7,7,18,12,17,0.8,,,,5,SC,30
30,1026.3,12.6,15.6,9.2,4.6,59,44,4.0,7,18,10,19,2.7,,,600,6,CI,180
