DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1004.2,28.4,33.9,22.9,23.1,75,58,6.0,11,7,19,7,0.6,,,,,,
2,1006.7,28.1,32.8,22.7,23.1,76,59,5.9,11,8,20,7,0.9,,,,,,
3,1008.0,29.7,37.3,23.2,23.6,73,44,6.6,14,16,19,17,1.5,,,,,,
4,1006.5,31.1,37.3,23.4,24.3,69,47,5.4,14,17,18,17,0.6,,,,,,
5,1005.5,32.0,38.4,26.0,23.5,63,42,6.3,13,33,19,32,2.2,,,,,,
6,1006.5,29.3,34.2,26.0,24.9,78,61,5.7,10,9,19,11,7.0,34.5,,,5,SC,25
7,1008.4,27.3,30.2,24.0,23.4,80,69,6.1,10,10,18,7,4.3,,,,6,SC,25
8,1007.1,26.8,31.9,22.3,22.6,79,63,4.5,10,9,17,9,2.5,,,,5,SC,35
9,1004.9,27.5,33.4,22.8,23.4,80,61,4.0,10,9,15,9,6.4,,,,5,SC,25
10,1004.5,25.8,27.8,24.0,24.0,90,80,3.6,7,7,11,7,7.7,11.0,,,5,SC,20
11,1006.2,26.6,29.8,24.2,23.8,85,73,6.0,10,9,19,6,6.9,0.5,,,6,SC,20
12,1008.2,27.7,31.5,25.5,25.1,86,73,4.5,8,7,13,9,5.6,1.5,,,5,SC,25
13,1010.4,29.5,34.9,24.6,25.5,81,62,4.9,13,19,18,18,4.6,,,,6,CI,200
14,1010.4,28.6,34.6,23.6,24.1,78,58,4.9,11,18,16,20,5.2,,,,6,CI,180
15,1007.2,26.9,32.2,23.7,25.0,90,70,7.3,15,17,32,11,6.1,14.0,,,5,SC,18
16,1010.0,25.3,30.7,23.6,23.2,89,72,7.3,15,1,28,4,7.5,20.0,,,5,SC,18
17,1013.4,24.9,27.2,22.9,17.7,65,55,7.3,13,1,27,9,4.2,,,,5,SC,30
18,1011.8,23.3,27.2,18.3,17.3,70,54,5.9,9,10,17,13,3.8,,,,5,CI,180
19,1010.9,22.8,29.2,16.3,18.4,79,49,5.1,10,9,18,9,2.9,,,,,,
20,1008.2,24.2,30.1,18.8,20.0,80,50,5.1,9,16,18,17,2.3,,,,,,
21,1004.6,26.5,32.5,19.1,21.8,77,53,7.0,16,17,24,17,3.5,,,,,,
22,1005.9,28.3,32.3,23.3,23.9,79,64,6.0,11,11,21,12,5.3,,,,5,CI,150
23,1000.9,28.1,30.8,24.8,24.8,83,70,8.8,14,9,28,9,8.0,6.5,,,5,SC,25
24,997.4,28.8,33.2,25.9,24.2,77,60,14.1,28,18,48,19,4.7,3.5,,,5,SC,20
25,1009.1,25.2,30.3,22.1,22.5,86,57,3.8,11,21,16,21,7.1,1.5,,,5,SC,30
26,1012.2,21.8,24.0,20.5,21.6,99,97,5.5,14,35,19,36,8.0,126.5,,,5,ST,8
27,1012.1,24.1,27.4,20.7,23.5,97,85,3.7,10,20,18,22,7.4,29.5,,,3,CB,15
28,1012.5,25.4,30.1,22.9,23.8,91,77,3.8,8,14,14,13,6.2,,,,3,SC,30
29,1010.9,27.8,32.7,22.6,23.0,77,54,6.5,15,21,23,22,4.1,,,,5,ST,8
30,1009.7,28.3,32.9,24.3,24.2,80,62,6.0,12,24,21,22,6.1,2.5,,,5,CU,20
31,1010.0,25.2,28.6,22.5,23.2,89,73,4.6,11,1,14,23,7.7,4.0,,,5,SC,20
