DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1016.3,15.5,23.2,6.7,9.4,70,39,5.1,13,17,18,16,5.1,,,,5,CI,200
2,1015.5,18.4,26.0,10.0,11.6,69,36,6.3,16,21,24,24,0.9,,,,,,
3,1016.1,19.4,27.9,10.2,12.8,69,41,6.3,15,21,23,22,1.4,,,,,,
4,1020.1,10.5,14.6,8.4,8.2,86,77,7.2,11,2,26,3,8.0,3.5,,,6,SC,20
5,1018.7,9.8,11.5,8.4,6.0,78,60,5.1,9,7,19,10,8.0,0.5,,,6,SC,25
6,1008.7,10.6,17.0,6.3,3.7,69,31,9.2,16,1,28,33,4.2,22.0,,,6,SC,30
7,1012.5,6.6,11.2,3.1,-7.5,38,19,9.7,21,32,35,34,2.6,,,,5,SC,40
8,1016.3,8.4,14.5,-2.5,-3.6,47,19,7.5,18,19,29,20,0.5,,,,,,
9,1016.8,11.6,19.1,4.2,4.7,66,27,6.2,15,18,21,19,1.8,,,,7,AS,130
10,1014.8,14.7,22.4,2.9,8.3,70,41,12.0,26,22,41,21,3.9,,,,5,CI,180
11,1008.0,20.3,26.3,15.0,7.0,48,23,9.5,18,20,29,20,3.6,0.5,,,6,SC,30
12,1016.0,16.7,24.2,8.9,-3.2,27,16,6.6,17,33,29,33,4.7,,,,5,CI,200
13,1024.5,11.7,17.0,4.4,1.7,52,30,5.5,13,8,24,5,5.9,,,,8,AS,120
14,1008.5,11.4,12.3,9.8,8.9,86,58,5.9,15,36,20,36,8.0,22.0,,,5,SC,25
15,1009.8,12.8,18.5,9.5,4.4,58,35,8.6,15,32,27,32,1.2,,,,5,AC,130
16,1019.2,12.0,16.4,7.3,5.5,66,43,7.3,12,36,22,7,3.6,,,,7,CI,180
17,1019.9,12.6,18.7,7.5,7.6,76,37,5.0,10,9,16,11,4.8,,,,7,AS,130
18,1016.1,13.2,21.0,5.5,7.4,72,43,7.6,19,17,26,17,0.0,,,,,,
19,1015.2,15.4,23.3,5.6,7.2,63,36,5.9,16,17,22,17,0.0,,,,,,
20,1019.0,18.8,27.5,10.8,6.2,47,24,6.0,12,19,18,20,0.0,,,,,,
21,1017.6,18.1,29.0,7.9,6.0,53,11,6.6,15,21,22,20,1.2,,,,5,CI,200
22,1019.9,14.7,22.5,10.4,9.8,73,58,6.8,15,2,23,2,7.1,,,,6,SC,25
23,1017.9,11.5,12.6,10.5,10.2,92,76,8.7,15,2,24,1,8.0,40.0,,,6,SC,20
24,1010.5,11.5,13.1,10.2,9.4,87,67,12.5,18,1,29,1,8.0,26.0,,,6,SC,20
25,1013.0,11.6,19.4,3.5,0.9,53,22,7.0,16,2,26,2,0.0,,,,,,
26,1013.5,11.7,18.9,2.1,6.0,71,42,5.6,12,19,18,17,5.2,,,,6,CI,180
27,1013.3,15.1,22.8,6.9,5.1,54,35,7.1,16,36,24,9,1.5,,,,6,AC,140
28,1015.4,15.6,26.5,4.8,7.9,65,30,5.8,14,17,20,17,0.0,,,,,,
29,1012.4,17.1,26.0,8.9,8.8,64,20,7.5,17,16,24,17,2.2,,,,6,CI,200
30,1013.6,19.8,26.9,11.5,13.4,70,43,6.0,14,20,22,21,2.1,,,,6,AC,150
