DATE,PS_AVG,TMP_AVG,TMP_MAX,TMP_MNM,TD_AVG,HM_AVG,HM_MNM,WSPD_AVG,WSPD_MAX,WD_MAX,WSPD_INS,WD_INS,CA_TOT_AVG,RN_SUM,SD_MAX,VIS_MNM,CLA,CLF,BASE
1,1010.3,25.9,30.8,21.0,16.6,58,40,6.2,11,12,17,9,5.5,,,900,4,SC,30
2,1011.7,24.5,28.0,21.6,17.2,65,51,5.9,10,12,19,20,7.3,1.5,,250,5,SC,30
3,1011.2,23.7,28.4,19.3,18.2,73,50,5.1,11,34,17,26,3.2,0.0,,280,5,CU,25
4,1012.1,24.2,29.5,19.0,17.7,70,41,3.0,10,29,14,29,2.9,,,450,5,AS,120
5,1009.5,21.9,23.9,18.9,18.2,80,68,4.7,12,33,16,33,6.5,5.0,,250,3,SC,30
6,1008.0,21.7,27.1,17.3,14.1,63,47,6.8,12,3,17,3,4.9,,,600,7,AC,120
7,1012.9,22.1,28.3,14.2,11.7,54,33,4.3,10,2,15,2,0.5,,,,,,
8,1016.2,22.2,29.0,14.5,8.1,46,19,5.3,10,11,16,8,0.0,,,,,,
9,1017.0,21.2,28.9,12.6,8.5,46,31,6.7,14,2,20,1,0.7,,,,,,
10,1014.6,21.1,27.2,14.5,13.7,65,45,4.2,12,30,17,24,0.2,,,400,,,
11,1010.6,20.4,25.0,16.3,15.8,76,56,5.0,11,32,14,18,5.7,3.0,,220,6,ST,7
12,1010.1,19.1,23.8,14.8,11.3,63,34,3.7,11,30,18,32,6.7,,,,8,AS,120
13,1016.8,19.1,25.4,12.2,9.1,57,25,4.6,10,35,21,32,1.0,,,,,,
14,1021.6,21.4,28.2,15.4,13.6,64,38,3.8,8,28,11,28,2.9,,,,5,CI,180
15,1020.8,22.2,28.5,15.6,10.7,54,23,4.3,9,10,19,5,4.2,,,700,6,CI,180
16,1018.3,21.1,26.8,14.0,7.4,43,26,5.2,9,9,16,13,3.3,,,,6,CI,180
17,1017.4,20.6,27.9,12.4,8.2,49,25,5.5,11,8,16,12,0.8,,,,,,
18,1017.2,20.2,27.5,12.3,10.5,57,32,3.8,10,30,14,27,2.3,,,,7,CI,180
19,1014.1,20.9,28.3,15.0,13.3,66,31,3.7,12,29,17,28,2.1,,,600,5,CI,200
20,1012.6,21.2,26.9,16.1,15.6,73,45,3.3,10,29,14,29,3.5,,,120,6,ST,15
21,1014.5,21.3,28.7,14.5,14.5,70,32,3.0,8,29,12,32,1.5,,,60,,,
22,1015.7,22.1,30.5,15.0,12.4,60,28,3.3,7,29,12,24,0.9,,,450,,,
23,1011.3,21.5,26.4,16.9,13.3,62,41,3.0,8,14,12,14,6.0,,,280,7,AS,120
24,1007.9,21.8,29.2,15.0,14.2,67,33,3.5,9,29,14,28,2.1,,,150,5,CI,200
25,1007.8,21.8,28.6,15.9,14.7,67,40,3.4,9,28,16,28,2.2,,,330,6,CI,180
26,1011.5,20.8,27.5,13.2,11.8,61,27,4.6,11,34,16,34,2.3,,,80,6,AC,120
27,1015.2,19.6,29.1,11.1,6.7,49,12,3.7,9,27,13,32,0.0,,,,,,
28,1019.6,19.9,28.2,12.3,8.2,52,21,3.9,10,1,14,1,4.0,0.0,,800,6,SC,30
29,1023.8,20.3,27.8,12.7,5.9,43,18,5.2,11,33,18,10,2.6,,,,5,AC,120
30,1021.3,21.6,25.8,18.2,7.5,42,28,6.2,14,13,19,12,6.7,,,,7,AC,120
